Zip Code,Year,ZBP_Total_Establishments,ZBP_Total_Employees,ZBP_Annual_Payroll_Thousands
91734,2010,6,0,0
91610,2010,9,0,0
91710,2010,2190,30144,1046087
91735,2010,4,0,0
91739,2010,505,8406,237515
91740,2010,651,11460,386368
91737,2010,267,1795,43953
91612,2010,1,0,0
91614,2010,12,0,0
91607,2010,636,5013,170699
91709,2010,1061,9808,256870
91615,2010,2,0,0
91617,2010,5,0,0
91786,2010,1714,20391,716192
91910,2010,1471,18283,710825
91789,2010,1681,17945,794789
91803,2010,719,7880,288289
91791,2010,535,7721,254049
91905,2010,12,26,1124
91911,2010,1268,17385,591930
91792,2010,270,3031,65169
91793,2010,4,0,0
91901,2010,399,3855,113619
91778,2010,7,8,689
91790,2010,811,13912,463827
91795,2010,2,0,0
91801,2010,1307,12690,418714
91906,2010,23,449,14153
91902,2010,347,2331,73785
91780,2010,782,4880,119876
91912,2010,23,126,7076
91772,2010,2,0,0
91776,2010,1347,9860,294397
91785,2010,27,252,6116
91913,2010,250,1424,45244
91914,2010,300,3281,121843
91915,2010,309,4009,86736
91773,2010,1053,16066,697475
91916,2010,29,234,7270
91788,2010,22,205,6500
91802,2010,17,358,15277
91775,2010,272,2532,63921
91784,2010,334,2678,72154
91903,2010,17,0,2172
91908,2010,6,5,109
91932,2010,257,1991,48058
91917,2010,6,74,1302
91931,2010,13,48,1893
91909,2010,2,0,0
91921,2010,10,0,640
91750,2010,726,8887,293718
91764,2010,922,18537,616169
91748,2010,2014,23909,893678
91758,2010,3,0,0
91761,2010,2212,59601,2364053
91754,2010,1332,18853,778873
91759,2010,12,141,1500
91743,2010,3,23,417
91744,2010,793,9625,328040
91755,2010,318,2344,91905
91762,2010,894,9799,268827
91767,2010,775,12707,582045
91752,2010,485,12832,496125
91745,2010,1221,15514,553247
91768,2010,564,12320,466940
91765,2010,1185,11683,584460
91741,2010,511,3810,140133
91747,2010,11,0,0
91770,2010,1089,14104,763923
91766,2010,795,10880,502908
91746,2010,876,17572,690457
91749,2010,9,563,19625
91769,2010,34,1223,51026
92128,2010,1123,15767,699167
92134,2010,16,0,0
92118,2010,526,7166,260874
92136,2010,67,612,19224
92154,2010,1286,12959,490077
92139,2010,125,1024,21927
92163,2010,12,51,1738
92176,2010,4,0,263
92179,2010,1,0,0
92152,2010,13,261,10440
92168,2010,3,0,0
92158,2010,2,0,0
92074,2010,15,0,0
92040,2010,657,9280,361817
92093,2010,19,386,16848
92022,2010,10,0,0
91933,2010,6,0,161
92129,2010,586,6258,417457
92131,2010,863,10858,638930
92119,2010,296,1744,49223
92130,2010,1575,22445,1486077
92135,2010,85,815,46377
92165,2010,1,0,0
92166,2010,12,59,2051
92147,2010,11,63,4782
92161,2010,9,0,0
92167,2010,6,27,622
92169,2010,15,0,1078
92170,2010,4,0,0
92140,2010,17,177,5038
92172,2010,8,38,1982
92173,2010,501,5806,130273
92126,2010,1544,19156,759829
92149,2010,1,0,0
92150,2010,19,0,1159
92175,2010,3,0,0
92178,2010,14,211,6430
92190,2010,1,0,0
92196,2010,10,75,3608
92122,2010,1139,15647,988674
92132,2010,12,70,3383
92137,2010,9,64,916
92174,2010,3,0,0
92177,2010,11,58,1291
92186,2010,10,0,0
92191,2010,7,12,681
92193,2010,12,0,0
92121,2010,2775,93996,8391299
92124,2010,299,2207,76112
92182,2010,21,0,0
92138,2010,29,408,21407
92143,2010,4,0,0
92192,2010,8,0,0
92195,2010,2,0,0
92198,2010,9,39,1366
92199,2010,1,0,0
92201,2010,915,9527,291975
92123,2010,1726,60793,3784356
92145,2010,53,873,42673
92202,2010,19,187,5705
92153,2010,6,6,59
92203,2010,267,3863,106237
92155,2010,21,162,7561
92159,2010,11,34,745
92160,2010,7,0,687
92171,2010,6,22,644
92120,2010,955,15348,723983
92052,2010,13,69,2260
92056,2010,903,16421,591926
92067,2010,425,3139,147832
92028,2010,848,6484,208595
92069,2010,1137,14823,556387
92033,2010,13,0,1126
92058,2010,199,1579,52635
92060,2010,9,0,0
92064,2010,1585,27679,1518950
92038,2010,26,0,0
92055,2010,114,2222,84390
92037,2010,2331,33307,2011619
92046,2010,23,141,5619
92054,2010,1227,14052,368675
92075,2010,823,8991,347843
92036,2010,108,777,19978
92061,2010,31,793,25720
92066,2010,5,13,468
92059,2010,14,0,0
92027,2010,480,5012,126210
92029,2010,955,14134,599290
92078,2010,919,10093,424485
92081,2010,762,14404,721728
92039,2010,2,0,0
92049,2010,9,0,1846
92068,2010,6,0,0
92065,2010,691,4147,117271
92057,2010,388,3384,83542
92079,2010,16,0,2070
92071,2010,1021,11171,379570
92051,2010,6,15,1042
92072,2010,10,0,1430
92030,2010,10,79,1176
92070,2010,29,224,6411
92108,2010,2222,46350,1872827
92086,2010,16,207,4140
92109,2010,1438,17689,487064
92111,2010,1930,34700,1431673
92110,2010,1545,26898,1033683
92114,2010,253,1822,47332
92103,2010,1570,20386,936377
92115,2010,862,6470,155001
92088,2010,20,69,2177
92092,2010,3,18,256
92107,2010,535,3260,82675
92116,2010,451,2391,66580
92105,2010,507,6473,206762
92117,2010,1104,19774,431046
92084,2010,799,6946,194827
92085,2010,25,369,13244
92090,2010,1,0,0
92096,2010,2,0,0
92102,2010,468,7857,294895
92082,2010,330,3942,130413
92091,2010,51,604,22848
92101,2010,3676,61769,2937899
92104,2010,681,5181,140869
92106,2010,674,7062,244087
92112,2010,17,165,3995
92113,2010,477,9080,350674
92083,2010,929,12211,433160
91976,2010,6,0,607
92013,2010,8,18,694
91943,2010,4,11,206
91977,2010,601,5040,143380
92007,2010,334,2135,73846
92008,2010,2033,35834,1968668
92020,2010,1790,26033,977598
92021,2010,1089,10169,295456
91950,2010,1249,16911,510698
91979,2010,16,326,9664
92014,2010,748,5762,232185
91942,2010,875,10849,384241
91944,2010,18,0,0
92010,2010,282,3452,198031
92004,2010,82,589,14287
92018,2010,28,189,6547
92019,2010,580,7184,191720
92023,2010,30,0,6545
92024,2010,2163,18435,667240
91951,2010,7,80,3514
92011,2010,602,7241,382346
91935,2010,138,932,32792
91409,2010,16,115,2021
92407,2010,374,6399,195587
92423,2010,10,94,1703
92504,2010,778,14475,487022
92570,2010,401,5249,164849
91962,2010,34,161,5045
91980,2010,32,198,4958
91945,2010,423,4694,142764
92025,2010,1726,22946,833675
91934,2010,9,26,630
91946,2010,4,0,184
91947,2010,2,0,0
91978,2010,134,1181,49014
92003,2010,157,1192,37327
92009,2010,1039,9884,508938
92026,2010,503,5075,160447
91941,2010,1091,10267,320499
91948,2010,7,24,452
91963,2010,2,0,0
91505,2010,1587,31973,1664023
91402,2010,657,11123,443858
91503,2010,12,351,6928
91506,2010,689,14855,1363698
91510,2010,23,0,0
91403,2010,1939,15890,1055954
91405,2010,860,11963,482176
91523,2010,29,0,0
91602,2010,651,4408,306964
91504,2010,709,0,0
91412,2010,2,0,0
91601,2010,747,7684,362460
91413,2010,60,60,13327
91501,2010,226,1531,40054
91521,2010,65,0,0
91406,2010,1509,22730,1004703
91605,2010,1144,14256,593662
91426,2010,21,0,2243
91408,2010,3,0,127
91507,2010,5,0,0
91416,2010,15,49,3794
91606,2010,631,7345,220832
91508,2010,6,21,502
91522,2010,50,0,0
91603,2010,5,0,0
91436,2010,3043,16725,1511094
91502,2010,1046,16665,739491
91410,2010,1,0,0
91411,2010,739,8642,329366
91423,2010,1372,10084,455543
91604,2010,1488,10807,498292
91404,2010,6,0,0
92406,2010,8,263,12409
92415,2010,13,262,9998
92502,2010,18,125,7434
92393,2010,19,234,5408
92418,2010,3,33,844
92412,2010,10,49,3165
92505,2010,553,8880,402498
92405,2010,242,2701,83003
92411,2010,149,3012,132539
92408,2010,1001,24361,949911
92427,2010,5,44,1927
92503,2010,1339,16490,485828
92514,2010,5,9,309
92516,2010,12,0,0
92395,2010,479,6627,216998
92402,2010,18,599,11516
92413,2010,4,15,759
92521,2010,5,0,1011
92530,2010,724,7081,190366
92394,2010,103,2012,68299
92414,2010,1,0,0
92501,2010,776,11355,546924
92515,2010,8,0,0
92531,2010,9,86,2257
92410,2010,494,6527,210513
92522,2010,4,125,5167
92539,2010,52,280,7540
92398,2010,15,181,3139
92507,2010,1333,24667,925311
92532,2010,166,1905,55071
92401,2010,233,2038,67145
92403,2010,5,0,0
92536,2010,35,0,0
92397,2010,71,1365,11454
92399,2010,653,5122,135428
92543,2010,595,7243,233771
92508,2010,355,3787,99564
92506,2010,1061,13008,483551
92513,2010,5,23,552
92404,2010,494,9044,294442
92509,2010,726,10743,409142
92517,2010,16,167,9346
92518,2010,50,2154,88371
92519,2010,8,74,995
92617,2010,72,0,0
92623,2010,31,283,6617
92625,2010,484,2921,104786
92628,2010,20,159,8515
92637,2010,106,870,35267
92647,2010,1646,26704,1344933
92619,2010,39,1137,47747
92649,2010,1259,15136,733809
92630,2010,1782,25881,1455215
92646,2010,841,6094,194623
92626,2010,2947,58744,3248522
92629,2010,804,7352,240829
92624,2010,206,1559,48994
92627,2010,1737,16499,600200
92651,2010,1150,9193,357753
92614,2010,2100,42587,2972055
92615,2010,10,21,655
92650,2010,11,138,3605
92620,2010,596,3212,108225
92648,2010,1437,13152,468726
92612,2010,1838,37391,2782430
92616,2010,14,0,0
92618,2010,2748,71682,5014784
92593,2010,24,74,1974
92582,2010,76,916,50004
92544,2010,380,3036,74064
92552,2010,9,0,1016
92557,2010,310,2324,58778
92545,2010,410,6459,171163
92599,2010,1,0,0
92553,2010,872,11233,291058
92585,2010,113,1575,77812
92546,2010,9,0,1961
92554,2010,4,0,0
92586,2010,223,2440,57077
92604,2010,767,6120,306879
92564,2010,18,416,15504
92838,2010,12,156,4061
92816,2010,2,0,0
92811,2010,9,24,2248
92821,2010,1973,43814,2113816
92837,2010,7,70,2423
92814,2010,6,136,4834
92653,2010,1839,20113,861885
92590,2010,1150,15103,602050
92591,2010,966,16659,557920
92548,2010,33,0,0
92555,2010,216,4817,227112
92562,2010,1334,13018,435915
92592,2010,882,6501,157148
92605,2010,6,0,0
92563,2010,606,4186,126934
92584,2010,321,3612,93129
92587,2010,208,1033,25573
92606,2010,886,17924,1039403
92567,2010,72,475,14292
92610,2010,380,10963,622529
92589,2010,37,0,0
92607,2010,19,186,6559
92572,2010,7,21,607
92609,2010,6,23,561
92602,2010,441,5003,245249
92571,2010,291,6067,165369
92583,2010,251,3771,103150
92596,2010,142,991,24901
92581,2010,8,113,2109
92595,2010,340,3407,129955
92603,2010,302,1786,58251
92549,2010,123,850,22407
92551,2010,141,2749,98678
92556,2010,10,130,2436
92561,2010,32,150,2588
93006,2010,16,63,2531
93012,2010,877,14532,839930
92886,2010,928,6545,195302
93015,2010,216,1942,58483
93007,2010,6,114,6498
93020,2010,7,0,0
92871,2010,10,58,2216
93002,2010,36,565,16299
93011,2010,26,0,0
92879,2010,1081,19871,768717
93009,2010,8,134,4867
93001,2010,999,9305,360507
93004,2010,321,2215,71619
93022,2010,93,0,8497
93023,2010,605,4441,154325
92887,2010,564,6381,284580
93013,2010,489,6259,353285
92877,2010,14,53,2660
93010,2010,1373,14519,485054
93024,2010,11,78,1313
92880,2010,883,18292,867238
92883,2010,329,4196,139585
93005,2010,6,60,1843
93030,2010,1609,25038,974977
92878,2010,43,877,29103
93003,2010,2393,32710,1283585
93014,2010,8,21,1453
93016,2010,8,52,2599
92885,2010,11,0,0
93021,2010,692,7907,307540
92882,2010,958,10723,359035
92881,2010,585,7884,256693
92735,2010,3,0,0
92780,2010,2332,26723,1323320
92802,2010,600,33753,879967
92706,2010,508,5247,162853
92782,2010,404,5725,178245
92804,2010,751,8019,251481
92703,2010,534,5869,151650
92708,2010,1876,23665,1051204
92781,2010,52,352,12098
92799,2010,6,0,1108
92705,2010,3006,53071,2548664
92707,2010,870,16421,922742
92711,2010,8,75,3185
92807,2010,1444,25910,1270858
92801,2010,1372,22635,893742
92803,2010,28,3377,80473
92712,2010,1,0,0
92728,2010,16,0,2072
92805,2010,1099,22502,1003926
92806,2010,1904,37438,1866618
92808,2010,404,4194,177693
92702,2010,23,0,0
92704,2010,1512,31065,1150046
92863,2010,23,0,5081
92845,2010,238,2031,67304
92860,2010,666,7251,264350
92861,2010,146,748,28126
92815,2010,3,0,0
92823,2010,64,3394,159718
92835,2010,665,9906,418348
92844,2010,515,2725,67200
92817,2010,18,79,3426
92840,2010,645,7870,207461
92841,2010,772,14764,607910
92809,2010,16,55,1540
92842,2010,13,65,3284
92846,2010,1,0,0
92850,2010,1,0,0
92862,2010,6,54,792
92856,2010,14,309,21946
92864,2010,2,0,0
92865,2010,969,15922,738575
92832,2010,694,8348,243261
92833,2010,711,7785,315848
92843,2010,966,11112,369312
92869,2010,528,4620,144384
92866,2010,496,6171,213584
92857,2010,3,0,0
92859,2010,7,0,0
92836,2010,4,53,849
92870,2010,1168,13354,533322
92812,2010,14,117,2849
92822,2010,24,308,25771
92825,2010,5,24,1544
92834,2010,16,0,0
92868,2010,1490,36653,1956775
92831,2010,1055,17424,664423
92867,2010,1508,18008,679090
92675,2010,1161,11477,494275
92677,2010,1584,11542,428626
92654,2010,10,71,3898
92676,2010,47,636,17568
92678,2010,12,99,1817
92679,2010,499,2079,81599
92655,2010,69,334,9148
92663,2010,1147,9397,425234
92698,2010,1,0,0
92329,2010,7,0,572
92340,2010,19,206,8521
92333,2010,19,100,3028
92391,2010,28,109,2005
93262,2010,2,0,0
93235,2010,24,256,8744
93267,2010,39,445,10966
93238,2010,66,397,11562
93245,2010,308,5241,167510
93260,2010,1,0,0
93261,2010,10,0,0
93252,2010,20,200,10087
92683,2010,1948,17124,512002
